Protein Accession ID,Protein Name and Description,Alignment Length,Start Query,End Query,Start Hit,End Hit,Identity
KAL0849695,gb|KAL0849695.1| hypothetical protein ABMA28_011659 [Loxostege sticticalis],349,3,351,1,349,155
CAP20053,emb|CAP20053.1| transposase [Portunus pelagicus],347,5,351,3,349,156
GFO34117,dbj|GFO34117.1| histone-lysine N-methyltransferase SETMAR [Plakobranchus ocellatus],367,4,351,20,382,143
XP_017486582,ref|XP_017486582.1| PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Rhagoletis zephyria],349,3,351,1,349,154
GFO31583,dbj|GFO31583.1| histone-lysine N-methyltransferase SETMAR [Plakobranchus ocellatus],366,5,351,60,425,141
GFN96190,dbj|GFN96190.1| histone-lysine N-methyltransferase SETMAR [Plakobranchus ocellatus],367,4,351,9,375,144
UYV78883,gb|UYV78883.1| hypothetical protein LAZ67_17000120 [Cordylochernes scorpioides],347,5,350,17,362,136
UYV61703,gb|UYV61703.1| hypothetical protein LAZ67_1006034 [Cordylochernes scorpioides],347,5,350,168,513,141
UYV66906,gb|UYV66906.1| hypothetical protein LAZ67_4003283 [Cordylochernes scorpioides],346,6,350,1,343,137
UYV66906,gb|UYV66906.1| hypothetical protein LAZ67_4003283 [Cordylochernes scorpioides],46,116,161,489,533,17
GFN80657,dbj|GFN80657.1| histone-lysine N-methyltransferase SETMAR [Plakobranchus ocellatus],367,4,351,9,375,141
UYV61504,gb|UYV61504.1| hypothetical protein LAZ67_1005082 [Cordylochernes scorpioides],347,5,350,152,497,137
UYV60717,gb|UYV60717.1| hypothetical protein LAZ67_1002021 [Cordylochernes scorpioides],346,6,350,1,345,142
UYV60717,gb|UYV60717.1| hypothetical protein LAZ67_1002021 [Cordylochernes scorpioides],279,50,325,865,1097,95
UYV63236,gb|UYV63236.1| hypothetical protein LAZ67_2003508 [Cordylochernes scorpioides],347,5,350,149,494,133
KAE9545153,gb|KAE9545153.1| hypothetical protein AGLY_000696 [Aphis glycines],344,8,350,7,349,143
GFS74987,dbj|GFS74987.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],350,3,351,8,356,146
VEN37611,emb|VEN37611.1| unnamed protein product [Callosobruchus maculatus],348,6,350,1,346,139
UYV69704,gb|UYV69704.1| hypothetical protein LAZ67_7000325 [Cordylochernes scorpioides],347,5,350,42,387,138
UYV69704,gb|UYV69704.1| hypothetical protein LAZ67_7000325 [Cordylochernes scorpioides],62,269,330,389,450,26
UYV77019,"gb|UYV77019.1| hypothetical protein LAZ67_14002900, partial [Cordylochernes scorpioides]",346,6,350,1,345,137
UYV77019,"gb|UYV77019.1| hypothetical protein LAZ67_14002900, partial [Cordylochernes scorpioides]",191,32,221,350,532,65
CAP20054,emb|CAP20054.1| transposase [Portunus pelagicus],347,5,351,3,349,154
UYV64514,gb|UYV64514.1| hypothetical protein LAZ67_3001065 [Cordylochernes scorpioides],346,6,350,1,345,135
XP_046978131,ref|XP_046978131.1| histone-lysine N-methyltransferase SETMAR-like [Vanessa cardui],347,5,351,3,349,149
XP_048247587,ref|XP_048247587.1| histone-lysine N-methyltransferase SETMAR-like [Haliotis rufescens],349,3,351,34,382,152
XP_036336279,ref|XP_036336279.1| histone-lysine N-methyltransferase SETMAR-like [Rhagoletis pomonella],349,3,351,1,349,153
XP_017486265,ref|XP_017486265.1| PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Rhagoletis zephyria],349,3,351,1,349,153
XP_048239812,ref|XP_048239812.1| histone-lysine N-methyltransferase SETMAR-like [Haliotis rufescens],349,3,351,10,358,158
XP_048241258,ref|XP_048241258.1| histone-lysine N-methyltransferase SETMAR-like [Haliotis rufescens],349,3,351,1,349,151
XP_023310469,ref|XP_023310469.1| histone-lysine N-methyltransferase SETMAR-like [Anoplophora glabripennis],351,2,351,102,451,147
XP_023703819,ref|XP_023703819.1| histone-lysine N-methyltransferase SETMAR-like [Cryptotermes secundus],349,3,351,1,349,157
XP_011873781,ref|XP_011873781.1| PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Vollenhovia emeryi],349,3,351,1,349,157
XP_063843275,ref|XP_063843275.1| uncharacterized protein LOC135090469 isoform X1 [Scylla paramamosain],345,7,350,352,695,145
XP_045769497,ref|XP_045769497.1| histone-lysine N-methyltransferase SETMAR-like [Maniola jurtina],351,1,351,6,356,145
XP_023217030,ref|XP_023217030.1| histone-lysine N-methyltransferase SETMAR-like [Centruroides sculpturatus] >ref|XP_023228713.1| histone-lysine N-methyltransferase SETMAR-like [Centruroides sculpturatus] >ref|XP_023230616.1| histone-lysine N-methyltransferase SETMAR-like [Centruroides sculpturatus],349,3,351,1,349,154
GFV96579,dbj|GFV96579.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],350,3,351,8,356,145
CAF4850963,emb|CAF4850963.1| unnamed protein product [Pieris macdunnoughi],347,3,349,1,347,156
XP_023310047,ref|XP_023310047.1| histone-lysine N-methyltransferase SETMAR-like [Anoplophora glabripennis],351,2,351,7,356,147
KAJ8728788,gb|KAJ8728788.1| hypothetical protein PYW07_006484 [Mythimna separata],347,5,351,10,356,155
XP_046976469,ref|XP_046976469.1| histone-lysine N-methyltransferase SETMAR-like [Vanessa cardui],347,5,351,3,349,147
XP_022822885,ref|XP_022822885.1| histone-lysine N-methyltransferase SETMAR-like [Spodoptera litura],349,3,351,1,349,148
KAL0869298,gb|KAL0869298.1| hypothetical protein ABMA27_007558 [Loxostege sticticalis],347,5,351,3,349,144
KMQ82764,gb|KMQ82764.1| mariner transposase [Lasius niger],349,3,351,1,349,162
XP_023228571,ref|XP_023228571.1| histone-lysine N-methyltransferase SETMAR-like [Centruroides sculpturatus] >ref|XP_023231586.1| histone-lysine N-methyltransferase SETMAR-like [Centruroides sculpturatus] >ref|XP_023238181.1| histone-lysine N-methyltransferase SETMAR-like [Centruroides sculpturatus],351,2,351,7,356,148
XP_036331758,ref|XP_036331758.1| LOW QUALITY PROTEIN: histone-lysine N-methyltransferase SETMAR-like [Rhagoletis pomonella],349,3,351,1,349,152
UYV71809,gb|UYV71809.1| hypothetical protein LAZ67_9000495 [Cordylochernes scorpioides],347,5,350,437,782,138
UYV71809,gb|UYV71809.1| hypothetical protein LAZ67_9000495 [Cordylochernes scorpioides],67,260,326,51,116,31
UYV71809,gb|UYV71809.1| hypothetical protein LAZ67_9000495 [Cordylochernes scorpioides],74,144,217,1,74,25
GFU40382,dbj|GFU40382.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],350,3,351,8,355,147
XP_048243667,ref|XP_048243667.1| histone-lysine N-methyltransferase SETMAR-like [Haliotis rufescens],349,3,351,10,354,153
UYV78442,gb|UYV78442.1| hypothetical protein LAZ67_16001387 [Cordylochernes scorpioides],346,6,350,1,345,137
XP_063884766,ref|XP_063884766.1| protein GVQW3-like [Scylla paramamosain],345,7,350,4,347,145
XP_036334530,ref|XP_036334530.1| histone-lysine N-methyltransferase SETMAR-like [Rhagoletis pomonella],349,3,351,1,349,152
UYV78290,gb|UYV78290.1| hypothetical protein LAZ67_16000864 [Cordylochernes scorpioides],333,19,350,330,661,134
GFN90278,dbj|GFN90278.1| histone-lysine N-methyltransferase SETMAR [Plakobranchus ocellatus],367,4,351,9,375,139
UYV79212,gb|UYV79212.1| hypothetical protein LAZ67_17001536 [Cordylochernes scorpioides],347,5,350,238,583,133
XP_023234839,ref|XP_023234839.1| histone-lysine N-methyltransferase SETMAR-like [Centruroides sculpturatus],351,2,351,7,356,147
GFT96626,dbj|GFT96626.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],350,3,351,8,355,144
GFW08597,dbj|GFW08597.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],350,3,351,8,356,146
UYV76619,gb|UYV76619.1| hypothetical protein LAZ67_14001482 [Cordylochernes scorpioides],346,6,350,1,345,137
KAG0720823,gb|KAG0720823.1| Mariner Mos1 transposase [Chionoecetes opilio] >gb|KAG0724869.1| Mariner Mos1 transposase [Chionoecetes opilio] >gb|KAG0730066.1| Mariner Mos1 transposase [Chionoecetes opilio],348,3,350,1,347,138
ADB28039,gb|ADB28039.1| transposase [Agrilus planipennis],349,3,351,1,349,149
GFO19279,dbj|GFO19279.1| histone-lysine N-methyltransferase SETMAR [Plakobranchus ocellatus],367,4,351,9,375,139
XP_023213604,ref|XP_023213604.1| histone-lysine N-methyltransferase SETMAR-like [Centruroides sculpturatus],349,3,351,1,349,154
UYV76121,gb|UYV76121.1| hypothetical protein LAZ67_13002655 [Cordylochernes scorpioides],346,6,350,1,345,135
UYV76121,gb|UYV76121.1| hypothetical protein LAZ67_13002655 [Cordylochernes scorpioides],298,65,350,444,735,57
XP_048250668,ref|XP_048250668.1| histone-lysine N-methyltransferase SETMAR-like [Haliotis rufescens],351,1,351,1,345,137
GFO44609,dbj|GFO44609.1| histone-lysine N-methyltransferase SETMAR [Plakobranchus ocellatus],352,19,351,39,390,139
UYV80488,gb|UYV80488.1| hypothetical protein LAZ67_19000307 [Cordylochernes scorpioides],337,15,350,42,377,132
GFO06629,dbj|GFO06629.1| histone-lysine N-methyltransferase SETMAR [Plakobranchus ocellatus],367,4,351,9,375,141
CAK1583117,emb|CAK1583117.1| unnamed protein product [Parnassius mnemosyne],349,3,351,1,347,151
GFW28691,dbj|GFW28691.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],350,3,351,8,356,146
XP_023234984,ref|XP_023234984.1| histone-lysine N-methyltransferase SETMAR-like [Centruroides sculpturatus],351,2,351,7,356,146
KAK9888064,gb|KAK9888064.1| hypothetical protein WA026_000340 [Henosepilachna vigintioctopunctata],349,3,351,1,349,151
XP_064478702,ref|XP_064478702.1| histone-lysine N-methyltransferase SETMAR-like [Ornithodoros turicata],350,3,351,8,355,141
XP_048240451,ref|XP_048240451.1| histone-lysine N-methyltransferase SETMAR-like [Haliotis rufescens],349,3,351,10,353,154
UYV65530,gb|UYV65530.1| hypothetical protein LAZ67_3004608 [Cordylochernes scorpioides],347,5,350,336,681,137
UYV65530,gb|UYV65530.1| hypothetical protein LAZ67_3004608 [Cordylochernes scorpioides],213,26,238,47,255,63
UYV65530,gb|UYV65530.1| hypothetical protein LAZ67_3004608 [Cordylochernes scorpioides],57,284,340,200,256,20
XP_063538168,ref|XP_063538168.1| histone-lysine N-methyltransferase SETMAR-like [Cydia strobilella],349,3,351,1,349,147
GFU54688,dbj|GFU54688.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],355,3,351,8,360,147
GFX95014,dbj|GFX95014.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],350,3,351,8,356,144
XP_063877924,ref|XP_063877924.1| protein GVQW3-like [Scylla paramamosain] >ref|XP_063877934.1| protein GVQW3-like [Scylla paramamosain],345,7,350,4,347,143
GFU91942,dbj|GFU91942.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],350,3,351,40,388,145
VEN60324,emb|VEN60324.1| unnamed protein product [Callosobruchus maculatus],348,6,350,1,345,136
GFO46791,dbj|GFO46791.1| histone-lysine N-methyltransferase SETMAR [Plakobranchus ocellatus],367,4,351,9,375,137
XP_023232613,ref|XP_023232613.1| histone-lysine N-methyltransferase SETMAR-like [Centruroides sculpturatus],349,3,351,1,349,153
UYV80715,gb|UYV80715.1| hypothetical protein LAZ67_19001522 [Cordylochernes scorpioides],346,6,349,1,343,137
CAI6353338,emb|CAI6353338.1| unnamed protein product [Macrosiphum euphorbiae] >emb|CAI6353757.1| unnamed protein product [Macrosiphum euphorbiae],349,3,350,2,349,130
CAK1588243,emb|CAK1588243.1| unnamed protein product [Parnassius mnemosyne],325,3,327,1,325,148
UYV75509,gb|UYV75509.1| TIGD4 [Cordylochernes scorpioides],347,5,350,40,385,138
KAJ4433118,gb|KAJ4433118.1| hypothetical protein ANN_15375 [Periplaneta americana],352,2,351,95,445,147
KMQ87583,gb|KMQ87583.1| mariner transposase [Lasius niger],349,3,351,1,349,158
GFY31016,dbj|GFY31016.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],350,3,351,8,355,145
KAJ8719945,gb|KAJ8719945.1| hypothetical protein PYW07_011988 [Mythimna separata],347,5,351,10,356,157
KAJ4436137,gb|KAJ4436137.1| hypothetical protein ANN_18764 [Periplaneta americana],352,2,351,152,502,141
QQP55056,gb|QQP55056.1| Putative mariner transposase [Caligus rogercresseyi],349,3,351,1,349,151
CAI6344606,emb|CAI6344606.1| unnamed protein product [Macrosiphum euphorbiae] >emb|CAI6372097.1| unnamed protein product [Macrosiphum euphorbiae],349,3,350,20,367,140
XP_033610181,ref|XP_033610181.1| uncharacterized protein LOC111871520 isoform X1 [Cryptotermes secundus],324,28,350,1,323,137
UYV73351,gb|UYV73351.1| hypothetical protein LAZ67_10002821 [Cordylochernes scorpioides],332,20,350,492,822,129
PAA84702,"gb|PAA84702.1| hypothetical protein BOX15_Mlig018546g1, partial [Macrostomum lignano]",347,5,351,10,356,150
XP_066994420,ref|XP_066994420.1| histone-lysine N-methyltransferase SETMAR-like [Anabrus simplex],349,3,351,1,342,151
GFU78853,dbj|GFU78853.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],349,3,350,8,355,142
UYV79647,gb|UYV79647.1| hypothetical protein LAZ67_18000172 [Cordylochernes scorpioides],346,6,350,1,345,133
UYV76008,gb|UYV76008.1| hypothetical protein LAZ67_13002114 [Cordylochernes scorpioides],337,15,350,164,499,131
GFO10092,dbj|GFO10092.1| histone-lysine N-methyltransferase SETMAR [Plakobranchus ocellatus],367,4,351,9,375,139
CAI6372096,emb|CAI6372096.1| unnamed protein product [Macrosiphum euphorbiae],349,3,350,2,349,140
KAL0822012,gb|KAL0822012.1| hypothetical protein ABMA28_005392 [Loxostege sticticalis],347,5,351,3,349,142
UYV83543,gb|UYV83543.1| TTC21B [Cordylochernes scorpioides],347,5,350,35,376,137
KAL0859566,gb|KAL0859566.1| hypothetical protein ABMA27_010708 [Loxostege sticticalis],347,5,351,3,349,149
KMQ86923,gb|KMQ86923.1| mariner transposase [Lasius niger],349,3,351,1,349,142
GBP08278,dbj|GBP08278.1| Histone-lysine N-methyltransferase SETMAR [Eumeta japonica],350,2,351,7,356,136
UYV77598,gb|UYV77598.1| hypothetical protein LAZ67_15001667 [Cordylochernes scorpioides],347,5,350,1393,1738,137
UYV77598,gb|UYV77598.1| hypothetical protein LAZ67_15001667 [Cordylochernes scorpioides],333,6,324,708,1021,66
CAP20022,emb|CAP20022.1| transposase [Eriphia verrucosa],349,3,351,1,349,141
CAI6374958,emb|CAI6374958.1| unnamed protein product [Macrosiphum euphorbiae],349,3,350,20,367,140
CAI6358303,emb|CAI6358303.1| unnamed protein product [Macrosiphum euphorbiae],349,3,350,20,367,140
CAK1580913,emb|CAK1580913.1| unnamed protein product [Parnassius mnemosyne],349,3,351,1,349,154
XP_064082562,ref|XP_064082562.1| uncharacterized protein LOC135198676 isoform X5 [Macrobrachium nipponense],351,1,350,1,350,138
XP_011268373,ref|XP_011268373.1| histone-lysine N-methyltransferase SETMAR-like [Camponotus floridanus],349,3,351,1,349,159
CAI6374957,emb|CAI6374957.1| unnamed protein product [Macrosiphum euphorbiae],349,3,350,2,349,140
GFO48549,dbj|GFO48549.1| histone-lysine N-methyltransferase SETMAR [Plakobranchus ocellatus],376,4,351,9,380,144
XP_041989227,ref|XP_041989227.1| histone-lysine N-methyltransferase SETMAR-like [Aricia agestis],332,20,351,1,332,147
KAJ4436753,gb|KAJ4436753.1| hypothetical protein ANN_16885 [Periplaneta americana],352,2,351,138,488,144
XP_064082558,ref|XP_064082558.1| uncharacterized protein LOC135198676 isoform X2 [Macrobrachium nipponense],351,1,350,1,350,138
UYV79043,gb|UYV79043.1| hypothetical protein LAZ67_17000846 [Cordylochernes scorpioides],347,5,350,1322,1664,139
UYV79043,gb|UYV79043.1| hypothetical protein LAZ67_17000846 [Cordylochernes scorpioides],337,9,343,861,1196,136
KAL0831014,gb|KAL0831014.1| hypothetical protein ABMA28_001900 [Loxostege sticticalis],349,3,351,1,349,140
GFO15025,dbj|GFO15025.1| histone-lysine N-methyltransferase SETMAR [Plakobranchus ocellatus],367,4,351,9,375,139
XP_063362897,ref|XP_063362897.1| histone-lysine N-methyltransferase SETMAR-like [Cydia amplana],349,3,351,1,349,148
XP_011878594,ref|XP_011878594.1| PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Vollenhovia emeryi],366,3,351,1,366,154
XP_055306592,"ref|XP_055306592.1| histone-lysine N-methyltransferase SETMAR-like, partial [Sitodiplosis mosellana]",343,9,351,1,343,147
UYV63804,"gb|UYV63804.1| hypothetical protein LAZ67_2005705, partial [Cordylochernes scorpioides]",349,5,350,252,599,138
UYV63804,"gb|UYV63804.1| hypothetical protein LAZ67_2005705, partial [Cordylochernes scorpioides]",271,49,314,1,270,107
XP_039764233,ref|XP_039764233.1| histone-lysine N-methyltransferase SETMAR-like [Pararge aegeria],344,3,346,1,344,148
CAP20021,emb|CAP20021.1| transposase [Eriphia verrucosa],349,3,351,1,349,141
HJY23236,tpg|HJY23236.1| transposase [Hanamia sp.],351,1,351,1,350,145
UYV72988,gb|UYV72988.1| hypothetical protein LAZ67_10001407 [Cordylochernes scorpioides],336,6,340,21,355,133
GFY23164,dbj|GFY23164.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],350,3,351,8,356,139
UYV78687,"gb|UYV78687.1| hypothetical protein LAZ67_16002391, partial [Cordylochernes scorpioides]",331,21,350,246,575,129
UYV73518,gb|UYV73518.1| KDM1A [Cordylochernes scorpioides],351,1,350,190,537,133
CAF4888914,emb|CAF4888914.1| unnamed protein product [Pieris macdunnoughi],351,3,351,8,356,146
XP_054276617,ref|XP_054276617.1| histone-lysine N-methyltransferase SETMAR-like [Macrosteles quadrilineatus],352,2,351,7,355,141
KAJ4444879,gb|KAJ4444879.1| hypothetical protein ANN_06676 [Periplaneta americana],353,1,351,236,587,144
KAJ4444879,gb|KAJ4444879.1| hypothetical protein ANN_06676 [Periplaneta americana],60,38,95,62,120,17
GFO37278,dbj|GFO37278.1| histone-lysine N-methyltransferase SETMAR [Plakobranchus ocellatus],366,4,350,9,370,135
XP_026326226,ref|XP_026326226.1| histone-lysine N-methyltransferase SETMAR-like [Hyposmocoma kahamanoa],332,20,351,1,332,146
UYV75095,gb|UYV75095.1| hypothetical protein LAZ67_12002451 [Cordylochernes scorpioides],343,5,346,135,476,133
UYV75095,gb|UYV75095.1| hypothetical protein LAZ67_12002451 [Cordylochernes scorpioides],103,221,322,1,103,43
KAL0828929,gb|KAL0828929.1| hypothetical protein ABMA28_003828 [Loxostege sticticalis],347,5,351,3,349,148
KAJ8721322,gb|KAJ8721322.1| hypothetical protein PYW07_002097 [Mythimna separata],347,5,351,10,356,155
KAL0880333,gb|KAL0880333.1| hypothetical protein ABMA27_002780 [Loxostege sticticalis],346,5,350,3,348,139
XP_023231680,ref|XP_023231680.1| histone-lysine N-methyltransferase SETMAR-like [Centruroides sculpturatus],351,2,351,7,356,143
KAH0814925,gb|KAH0814925.1| hypothetical protein GEV33_007867 [Tenebrio molitor],347,5,351,3,349,149
CAG4978839,emb|CAG4978839.1| unnamed protein product [Colias eurytheme],349,3,351,1,349,146
XP_025270760,ref|XP_025270760.1| histone-lysine N-methyltransferase SETMAR-like [Camponotus floridanus],349,3,351,1,349,158
CAF3499612,emb|CAF3499612.1| unnamed protein product [Rotaria sp. Silwood1] >emb|CAF3562786.1| unnamed protein product [Rotaria sp. Silwood1] >emb|CAF5056801.1| unnamed protein product [Rotaria sp. Silwood1] >emb|CAF5145433.1| unnamed protein product [Rotaria sp. Silwood1],352,1,351,1,352,145
XP_018368659,ref|XP_018368659.1| PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Trachymyrmex cornetzi],349,3,351,1,347,157
XP_042913964,ref|XP_042913964.1| histone-lysine N-methyltransferase SETMAR-like [Parasteatoda tepidariorum],350,2,350,7,355,139
CAI6372141,emb|CAI6372141.1| unnamed protein product [Macrosiphum euphorbiae],352,1,351,6,356,148
UYV80763,gb|UYV80763.1| hypothetical protein LAZ67_19001657 [Cordylochernes scorpioides],347,5,350,593,938,136
UYV80763,gb|UYV80763.1| hypothetical protein LAZ67_19001657 [Cordylochernes scorpioides],347,5,350,1639,1984,136
APL98287,gb|APL98287.1| putative DD34D transposase [Bactrocera tryoni],349,3,350,2,346,134
UYV60847,gb|UYV60847.1| hypothetical protein LAZ67_1002591 [Cordylochernes scorpioides],331,5,334,50,379,135
UYV60847,gb|UYV60847.1| hypothetical protein LAZ67_1002591 [Cordylochernes scorpioides],193,29,217,456,648,62
UYV60847,gb|UYV60847.1| hypothetical protein LAZ67_1002591 [Cordylochernes scorpioides],67,260,326,625,690,28
GFW25318,dbj|GFW25318.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],350,3,351,8,353,144
GBP71697,dbj|GBP71697.1| Histone-lysine N-methyltransferase SETMAR [Eumeta japonica],350,2,351,7,356,136
XP_036345812,ref|XP_036345812.1| histone-lysine N-methyltransferase SETMAR-like [Rhagoletis pomonella] >ref|XP_036345824.1| histone-lysine N-methyltransferase SETMAR-like [Rhagoletis pomonella],349,3,351,1,349,149
APL98294,gb|APL98294.1| putative DD34D transposase [Bactrocera tryoni],348,3,350,31,378,146
CAH2088551,emb|CAH2088551.1| unnamed protein product [Euphydryas editha],323,5,327,9,331,145
GFT31828,dbj|GFT31828.1| histone-lysine N-methyltransferase SETMAR [Trichonephila clavipes],349,3,350,8,355,143
UYV73990,"gb|UYV73990.1| JRKL, partial [Cordylochernes scorpioides]",332,6,336,1,331,130
XP_025267775,ref|XP_025267775.1| histone-lysine N-methyltransferase SETMAR-like [Camponotus floridanus],349,3,351,1,349,158
UYV78083,gb|UYV78083.1| hypothetical protein LAZ67_16000046 [Cordylochernes scorpioides],353,2,351,35,375,149
KAJ4437856,gb|KAJ4437856.1| hypothetical protein ANN_13795 [Periplaneta americana],349,2,348,279,626,141
CAK1585603,emb|CAK1585603.1| unnamed protein product [Parnassius mnemosyne],323,29,351,1,323,150
UYV63616,gb|UYV63616.1| hypothetical protein LAZ67_2004990 [Cordylochernes scorpioides],333,5,336,73,404,132
KAF7235648,"gb|KAF7235648.1| hypothetical protein EYD10_17547, partial [Varanus komodoensis]",335,5,339,9,343,142
XP_047987147,ref|XP_047987147.1| histone-lysine N-methyltransferase SETMAR-like [Leguminivora glycinivorella],352,1,351,1,352,145
